id,neighbourhood_cleansed,latitude,longitude,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
4295657,Mission,37.75886312,-122.423116,$300.00 ,,,,$100.00 ,4,$50.00 
224579,Mission,37.75631937,-122.404779,$150.00 ,"$1,200.00 ","$4,000.00 ",$500.00 ,$100.00 ,2,$30.00 
3042598,Mission,37.74852106,-122.4212581,$126.00 ,$851.00 ,"$2,606.00 ","$1,300.00 ",$120.00 ,1,$100.00 
9465129,Mission,37.75574133,-122.4115589,$100.00 ,,,,,1,$0.00 
7351575,Mission,37.76012321,-122.4250197,$99.00 ,,,,$35.00 ,1,$0.00 
6600081,Mission,37.75300435,-122.403943,$85.00 ,,,$100.00 ,$35.00 ,1,$35.00 
7679171,Mission,37.75298744,-122.4242477,$150.00 ,,,,$80.00 ,1,$0.00 
4730033,Mission,37.77002888,-122.4237134,$255.00 ,,,$750.00 ,$75.00 ,1,$0.00 
13282475,Mission,37.75112586,-122.4230647,$150.00 ,,,$250.00 ,$60.00 ,1,$0.00 
9350318,Mission,37.75498191,-122.4193609,$65.00 ,,,,,1,$0.00 
10496718,Mission,37.75992683,-122.408211,$300.00 ,,,,$100.00 ,1,$0.00 
9759420,Mission,37.74905921,-122.4182666,$700.00 ,,,,$100.00 ,1,$0.00 
14756524,Mission,37.7690889,-122.4239827,$34.00 ,,,,,1,$0.00 
6466197,Mission,37.75695181,-122.4116516,$240.00 ,"$1,430.00 ","$5,050.00 ","$1,000.00 ",$150.00 ,2,$25.00 
4614763,Mission,37.75300727,-122.4040496,$175.00 ,,"$5,500.00 ",$250.00 ,$75.00 ,2,$30.00 
15346313,Mission,37.75646678,-122.4164391,$275.00 ,,,$100.00 ,$100.00 ,1,$0.00 
8670481,Mission,37.75349384,-122.4195855,$600.00 ,,,"$1,500.00 ",$190.00 ,6,$50.00 
15424616,Mission,37.75317766,-122.4244942,$42.00 ,,,,$25.00 ,2,$25.00 
10136162,Mission,37.76052871,-122.4090437,$225.00 ,,,$500.00 ,$80.00 ,1,$0.00 
7350876,Mission,37.76108383,-122.425571,$149.00 ,$900.00 ,,,$35.00 ,1,$0.00 
4155983,Mission,37.76848691,-122.4206638,$125.00 ,,,,$25.00 ,1,$0.00 
17682872,Mission,37.74981207,-122.4150952,$50.00 ,,,$100.00 ,,1,$0.00 
10365512,Mission,37.75769932,-122.4200553,$115.00 ,,,$500.00 ,$100.00 ,1,$0.00 
2665028,Mission,37.75781911,-122.4108124,$165.00 ,,"$3,900.00 ",$500.00 ,,1,$0.00 
16083525,Mission,37.75603488,-122.4112037,$500.00 ,,,,,1,$0.00 
6924852,Mission,37.76673598,-122.4240911,$120.00 ,,"$2,600.00 ","$1,000.00 ",$70.00 ,1,$0.00 
10807858,Mission,37.74947188,-122.4185612,$300.00 ,,,$100.00 ,$80.00 ,1,$0.00 
3376895,Mission,37.74923178,-122.4190466,$80.00 ,$524.00 ,"$1,300.00 ",$150.00 ,$20.00 ,1,$20.00 
7481897,Mission,37.76117256,-122.4190939,$108.00 ,,,,$15.00 ,1,$15.00 
14948841,Mission,37.7572341,-122.4150385,$650.00 ,,,$400.00 ,$250.00 ,1,$0.00 
17590812,Mission,37.76873486,-122.4245731,$100.00 ,,,,$82.00 ,1,$25.00 
